"chain_number","name"
"6218847672028","FOODQA_OMQA - MCD MY test outlet"
"18847672028","FOODQA-Merchant based radius 1QA Test"
"Food7765su_qatest","FOODQA_OMQA - Standard Leads-Gen outlet1(MFC)"
"60_Rojak_And_Cendol_Mustaffa","Rojak & Cendol Mustaffa - Seksyen 17"
"60_Kak_Long_Asam_Pedas_Selera_Kampung","Kak Long Asam Pedas Selera Kampung"
"60_Plan_B","Plan B - Publika"
"60_Fierce_Curry_House","Fierce Curry House"
"60_Table9","Table9"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Pandan Indah [Non-Halal]"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Sunway [Non-Halal]"
"60_PoPs_Eatery","PoP's Eatery - Setapak"
"60_Common_Man_Coffee_Roasters","Common Man Coffee Roasters"
"60_Prestige_Cafe","Prestige Cafe"
"60_Baba_Lows","Baba Low's - Bangsar Utama"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Sunway Pyramid"
"60_Mok_Teh_Nasi_Dagang_Terengganu","Mok Teh Nasi Dagang - Jalan Wangsa Delima"
"60_Bisou_Bake_Shop","Bisou Bake Shop - KLCC"
"60_Paramount_Kopitiam","Paramount Kopitiam - Seapark Dessert [Non-Halal]"
"60_Burger_On_16","Burger On 16"
"60_Zahra_Hadramawt","Zahra Hadramawt - Kota Damansara Signature Park"
"60_LN_Fortunate_Coffee","LN Fortunate Coffee - Solaris Mont Kiara"
"60_Kampong_Kravers","Kampong Kravers - Sunway Putra"
"60_Legends_Claypot_Briyani","Legend's Claypot Briyani"
"60_Kafe_Kerabu_Keramat","Kafe Kerabu Keramat"
"60_Malabar_Palace","Malabar Palace - Hartamas Shopping Centre"
"60_Do_Eat_With_Us","Do Eat With Us"
"60_Hubba_Hubba","Hubba Hubba - Mont Kiara"
"60_Simply_Green_Salad_Gallery","Simply Green Salad Gallery - Wisma Lim Foo Yoong"
"60_Lushbowl","Lushbowl"
"60_La_Juiceria_Superfoods","La Juiceria Goodness Greens Cafe - TTDI"
"60_Saba_Restaurant","Saba Restaurant - Jalan Jelatek"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Setapak [Non-Halal]"
"60_Kee_Hiong_Klang_Bak_Kut","Kee Hiong Klang Bak Kut Teh - SS2 [Non-Halal]"
"60_A_Li_Yaa_Island_Restaurant_and_Bar","Aliyaa Island Restaurant and Bar"
"60_Ayam_Penyet_Best","Ayam Penyet Best - Wangsa Walk Mall"
"60_Anis_KPS","Anis KPS"
"60_Restoran_Haji_Zaini","Restoran Haji Zaini - Kak Zah Kg Pasir"
"60_Namaste_India","Namaste India - Hartamas"
"60_D_Naim_Nasi_Kukus","D' Naim Nasi Kukus - KL"
"60_Mohammad_Chow_Express","Mohammad Chow Express"
"60_Coffea_Coffee","Coffea Coffee - SS2"
"60_The_Sticky_Wicket","The Sticky Wicket"
"60_DV_Ristorante_Pizzeria","DV Ristorante Pizzeria"
"60_Luce_Osteria_Contemporanea","Luce Osteria Contemporanea - Raja Chulan [Non-Halal]"
"60_Sakae_Sushi","Sakae Sushi - Sunway Pyramid"
"60_Nature_Vegetarian_Restaurant","Nature Vegetarian Restaurant - Bangsar"
"60_Taj_Garden_Restaurant","Taj Garden Restaurant"
"60_Bistro_Benjis_By_Big","Bistro Benji's by BIG - Jalan Telawi"
"60_Asian_Rice_Pot","Asian Rice Pot"
"60_PappaRich","PappaRich - Kota Damansara"
"60_The_Bad_BOSS_Cafe","The Bad BOSS Cafe"
"60_Jom_Makan","Jom Makan - Menara Hap Seng"
"60_Cafe_9_Taste_Of_Thai","Cafe 9 Taste Of Thai"
"60_Wonton_And_Pho","Wonton & Pho [Non-Halal]"
"60_1977_New_Ipoh_Chicken_Rice","1977 New Ipoh Chicken Rice - Damansara Jaya [Non-Halal]"
"60_La_Juiceria_Cold_Pressed_Detox_Bar","La Juiceria - Sri Hartamas"
"60_The_Yard_MY","The Yard MY"
"60_Buns_Burger_Bar","Buns Burger Bar - Sri Hartamas"
"60_Khalifah_Bistro","Khalifah Bistro - Kota Damansara"
"60_Sea_Park_Dessert","Sea Park Dessert [Non-Halal]"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Damansara Perdana [Non-Halal]"
"60_Palm_Coffee_House","Palm Coffee House"
"60_Restaurant_Tgs_Nasi_Kandar","Restaurant Tg's Nasi Kandar"
"60_Hadramawt_Kitchen","Hadramawt Kitchen - Wangsa Maju"
"60_Sakae_Sushi","Sakae Sushi - Setapak Central"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Taman Segar [Non-Halal]"
"60_Boran_Classic_Thai_Street_Food","Boran - Classic Thai Street Food - Seapark [Non-Halal]"
"60_Shawarma_Damascus","Shawarma Damascus - Bukit Bintang"
"60_MMZ_Bistro_Sup_Haji_Abu","MMZ Bistro Sup Haji Abu"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Tmn Desa [Non-Halal]"
"60_KGB","KGB - TTDI"
"60_Broasted_Chicken_King","Broasted Chicken King - Taman Setiawangsa"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Jln Ipoh [Non-Halal]"
"60_Lou_Yau","Lou Yau - Eko Cheras Mall [Non-Halal]"
"60_Mikeys_Original_New_York_Pizza","Mikey's Original New York Pizza - Mid Valley"
"60_Capital_Cafe","Restaurant Capital Cafe - Kedai Nasi Padang"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Sunway Putra"
"60_Eatomo","Eatomo - Publika"
"60_The_Ganga_Cafe","The Ganga Cafe - Taman Bukit Pantai"
"60_Rumah_Makan_Cibiuk","Rumah Makan Cibiuk - Wangsa Maju"
"60_Grabox_Cafe","Grabox Cafe"
"60_Bakeroni_Cafe","Bakeroni Cafe - Taman Desa"
"60_Pezzo","Pezzo - Shell Damansara Jaya"
"60_Hadramot_Village","Hadramot Village - Quill City Mall"
"60_Restaurant_Syed_Bistro","Restaurant Syed Bistro - Dang Wangi"
"60_Restoran_Binjai","Restoran Binjai"
"60_Karumba_KL","Karumba KL"
"60_Puzzini_Swedish_Pizza","Puzzini Swedish Pizza"
"60_Sakae_Sushi","Sakae Sushi - Subang Parade"
"60_Salon_Du_Chocolat","Salon Du Chocolat - 1Utama"
"60_Wasabi","Wasabi - Sri Petaling"
"60_Beriani_Asif","Beriani Asif "
