"chain_number","name"
"TimHortons","Tim Hortons - Kia Araneta Center"
"BaskinRobbins","Baskin Robbins - Glorietta 2"
"Cibo","Cibo - Shangri-La Plaza"
"KuyaJRestaurant","Kuya J's Restaurant - SM San Lazaro"
"Cibo","Cibo - UP Town Center"
"BaskinRobbins","Baskin Robbins - Double Dragon Plaza"
"PepperLunch","Pepper Lunch - Greenbelt 5"
"Cibo","Cibo - SM Aura"
"Cibo","Cibo - Promenade Greenhills"
"CafeAdriatico","Cafe Adriatico - Gateway Mall"
"TeriyakiBoy","Teriyaki Boy - Cash & Carry"
"PepperLunch","Pepper Lunch - PowerPlant Mall"
"MilasLechon","Mila's Lechon - West Avenue"
"Cibo","Cibo - Power Plant Mall"
"01_Maple","Maple - San Antonio Plaza Arcade"
"TimHortons","Tim Hortons - UN Square Mall"
"BaskinRobbins","Baskin Robbins - Uptown Place Mall"
"SizzlinSteak","Sizzlin' Steak - SM East Ortigas"
"Txanton","Txanton - Alegria Alta"
"Cibo","Cibo - Glorietta 4"
"Cibo","Cibo - Megamall"
"PepperLunch","Pepper Lunch - Century City Mall"
"PepperLunch","Pepper Lunch - Fisher Mall"
"LarrysCafeBar","Larry's Cafe & Bar - Serendra"
"BaskinRobbins","Baskin Robbins - SM Aura"
"Cibo","Cibo - Robinsons Magnolia"
"Cibo","Cibo - Greenbelt 5"
"MammaMia","Mamma Mia - Uptown Mall"
"Jollibee","Jollibee - Baesa"
"01_DraftRestaurantBrewery","Draft Restaurant & Brewery - Greenbelt 2"
"TimHortons","Tim Hortons - Eastwood 1800 Building"
"Subway","Subway - Alabang Town Center"
"Cibo","CIBO - Gateway Mall"
"EatFresh","Eat Fresh - Maria Clara"
"KuyaJRestaurant","Kuya J's Restaurant - SM East Ortigas"
"KkoKko","Kko Kko - Sapphire Bloc"
"BistroRemedios","Bistro Remedios - SM North Edsa"
"TeriyakiBoy","Teriyaki Boy - SM East Ortigas"
"Hukad","Hukad - Mall of Asia"
"KkoKko","Kko Kko - UP Town Center"
"KkoKko","Kko Kko - Market Market"
"PizzaExpress","Pizza Express - Uptown Mall"
"Boteyju","Botejyu - Ayala Malls Feliz"
"Tiktilaok","Tiktilaok! - Robinsons Fuente"
"Subway","Subway - Robinsons Galleria"
"Subway","Subway - Pearl Plaza"
"ReserveLiquorLounge","Reserve Liquor Lounge - Pasig"
"TipsyPigGastropub","Tipsy Pig - Capitol Commons"
"ThaiBBQRestaurant","Thai BBQ Restaurant - BGC"
"TipsyPigGastropub","Tipsy Pig - BGC"
"BreadTalk","BreadTalk - Ayala Trinoma"
"Kan","Kan-anan ni Nasing - Banilad"
"BreadTalk","BreadTalk - Gateway Cubao"
"Hukad","Hukad - Ayala Malls Cloverleaf"
"SenorPollo","Senor Pollo - 32nd Street"
"Hukad","Hukad - Ayala Malls Feliz"
"Hukad","Hukad - SM San Lazaro"
"KuyaJRestaurant","Kuya J's Restaurant - SM Cubao"
"BreadTalk","BreadTalk - Ayala Malls Cloverleaf"
"NonnasPastaPizzeria","Nonna's Pasta & Pizzeria - Robinsons Galleria"
"Botejyu","Botejyu - Ayala Mall Vertis"
"Subway","Subway - Dela Rosa"
"Subway","Subway - Rockwell Business Centre"
"Cibo","Cibo - Eastwood Mall"
"KjTest1","Kuya J's Restaurant - SM Novaliches"
"HawkerChan","Hawker Chan - SM City North Edsa"
"Tiktilaok","Tiktilaok! - Robinsons Cybergate"
"MimiBros","Mimi & Bros - Crossroads"
"Subway","Subway - Valero Carpark"
"Subway","Subway - Esteban"
"Taters","Taters - Waltermart Center"
"Subway","Subway - Prince Plaza"
"DongJuan","Dong Juan - Gil Fernando Avenue"
"Subway","Subway - One Archers Place"
"Subway","Subway - Medical Center Manila"
"NorthPark","North Park - Ayala Fairview Terraces"
"Banapple","Banapple - Ayala Malls Feliz"
"Banapple","Banapple - Gateway Mall"
