"chain_number","name"
"6218847672028","FOODQA_OMQA - MCD SG test outlet"
"18847672028","FOODQA-BJ_SIN_Integrated_Resto"
"","[Test] – Grab Marketing"
"19_Joe_Dough","Joe & Dough - Marina One"
"01_Baja_Fresh_Mexican_Grill","Baja Fresh Mexican Grill - Marina One"
"46_Foodcoholic","#Foodcoholic - 68 Circular Road"
"48_1010_Korean_Japanese_Food","1010 Korean & Japanese Food -  1010 Tai Seng Ave"
"01_One_Bar_Cafe_Irving_Place","One Bar Cafe - The Commerze@Irving"
"53_5_Grill_Kitchen","5 Grill Kitchen - Aljunied"
"53_5_Grill_Kitchen","5 Grill Kitchen - Jurong West"
"58_717_Trading","717 Trading - 22 Yio Chu Kang Road"
"244_805_Seafood_Kitchen","805 Seafood Kitchen - 805 Hougang Central"
"245_8_Plus_Seafood","8 Plus Seafood - Lorong 7 Toa Payoh"
"265_8_Korean_BBQ","8 Korean BBQ - Shaw Centre"
"271_Balestier_Bak_Kut_Teh","Balestier Bak Kut Teh - 365 Balestier Road [Islandwide Delivery]"
"272_Arkadas_Cafe","Arkadas Cafe - Sandcrawler"
"275_Bali_Thai","Bali Thai - Causeway Point"
"01_Poke_Theory","Poke Theory - Boon Tat Street"
"277_Aromas_of_India","Aromas of India - 60 Race Course Road"
"275_Bali_Thai","Bali Thai - IMM"
"01_Poke_Theory","Poke Theory - Fraser Street"
"281_Aroy_Mak_Mookata","Aroy Mak Mookata - 476 Macpherson Road"
"275_Bali_Thai","Bali Thai - NEX"
"280_AlHabib","Al-Habib - Yishun Street  22"
"284_A1_Indian_Curry","A1 Indian Curry And Falafel Lebanese Restaurant - Pahang Street"
"285_AroyDee_Thai_Kitchen","Aroy-Dee Thai Kitchen - Boat Quay"
"275_Bali_Thai","Bali Thai - Ngee Ann City"
"288_A1_Penang_Chendol","A1 Penang Chendol - Tampines Street  81"
"275_Bali_Thai","Bali Thai - Punggol"
"281_AlHabib","Al-Habib - Sembawang Drive"
"303_Ballaji_Bhaawan","Balaji Bhawan - Syed Alwi Rd"
"307_Ali_Bar_Bar__Bar_Bar_Black_Sheep","Ali Bar Bar @ Bar Bar Black Sheep - Cherry Avenue"
"307_Ali_Bar_Bar__Bar_Bar_Black_Sheep","Ali Bar Bar @ Bar Bar Black Sheep - 501 Bukit Timah"
"310_Arteastiq_Boutique_Tea_House","Arteastiq Boutique Tea House - Mandarin Gallery"
"307_Ali_Bar_Bar__Bar_Bar_Black_Sheep","Ali Bar Bar @ Bar Bar Black Sheep - Robertson Quay"
"312_Bangalore_Iyengar_Bakery","Bangalore Iyengar Bakery - 79B Rangoon Road"
"310_Arteastiq_Boutique_Tea_House","Arteastiq Boutique Tea House - Plaza Singapura"
"314_Afterglow","Afterglow - 24 Keong Saik Road"
"317_Bangkok_Thai_Kitchen","Bangkok Thai Kitchen - Robertson Quay"
