"chain_number","name"
"","ข้าวซอยป้าหมวย - ประเสริฐมนูกิจ"
"","คุงโภชนา (Kung Potchana) - ถนนนวลจันทร์"
"","ยำมะม่วงกะปิหวานหน้าเจ้เล้ง Zeed and Sour สาขาสยามพารากอน - สยามพารากอน"
"","ตำลึงทอง - ถนนพุทธบูชา"
"True_Coffee","TrueCoffee (ทรูคอฟฟี่) - ซีคอน บางแค"
"","ส้มตำไฮเทค - ถนนศรีนครินทร์"
"","ลาบเป็ดอุบล - บางขุนนนท์"
"RED_SUN","REDSUN (เรดซัน) - Central Plaza Grand Rama9"
"","ครัวป้าหมู - ถนนฉลองกรุง"
"","เจ๊ศรี ข้าวมันไก่ตอนไหหลำ - ถนนสุขสวัสดิ์"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เซ็นทรัล พระราม 3"
"Pepper_Lunch","Pepper Lunch (เปปเปอร์ ลันช์) - เซ็นทรัลพลาซา ลาดพร้าว"
"Pepper_Lunch","Pepper Lunch (เปปเปอร์ ลันช์) - เซ็นทรัลพลาซา พระราม 3"
"Pepper_Lunch","Pepper Lunch (เปปเปอร์ ลันช์) - เซ็นทรัลพลาซา ปิ่นเกล้า"
"Pepper_Lunch","Pepper Lunch (เปปเปอร์ ลันช์) - เซ็นทรัลพลาซา บางนา"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เซ็นทรัล พระราม 9"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เซ็นทรัล ปิ่นเกล้า"
"Auntie_Annes","Auntie Anne's (อานตี้ แอนส์) - เซ็นทรัล ปิ่นเกล้า"
"Auntie_Annes","Auntie Anne's (อานตี้ แอนส์) - เซ็นทรัล พระราม 3"
"","ก๋วยเตี๋ยวไก่ราชวัตร (สาขา 2) - ถนนนครไชยศรี"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เซ็นทรัล บางนา"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เซ็นทรัลพลาซา ลาดพร้าว"
"Pepper_Lunch","Pepper Lunch (เปปเปอร์ ลันช์) - เซ็นทรัลพลาซา พระราม 9"
"","ขนมจีนฟินเวอร์ (เจ๊แป็ด) - อุดมสุข"
"","ราดหน้าเสวย - ถนนกำแพงเพชร 6"
"","Kay's Boutique Breakfast (เคย์ส บูทีค เบรคฟัส) - ถนนรางน้ำ"
"Thai_Terrace","Thai Terrace (ไทย เทอเรส) - เซ็นทรัล บางนา"
"","วรรณส้มตำ - ถนนพุทธบูชา"
"","ลักษณ์ข้าวมันไก่ตอน พัฒนาการ 53 - ถนนพัฒนาการ"
"","ส้มตำไก่ทอดเอ็ม.ที.บี. - สุขุมวิท"
"Zaap_Classic","Zaap Classic (แซ่บ คลาสสิก) - พหลโยธิน"
"Thai_Terrace","Thai Terrace (ไทย เทอเรส) - เซ็นทรัลชิดลม"
"Katsuya","Katsuya (คัตสึยะ) - เซ็นทรัล บางนา"
"RED_SUN","REDSUN (เรดซัน) - Central Plaza Bangna"
"Scoozi_Pizzeria_Italiana","Scoozi Pizzeria Italiana (สกูซี่ พิซซ่า) - เซ็นทรัลพลาซ่า แจ้งวัฒนะ"
"Zaap_Classic","Zaap Classic (แซ่บ คลาสสิก) - แม็กซ์แวลู หลักสี่"
"Zaap_Classic","Zaap Classic (แซ่บ คลาสสิก) - เทสโก้ โลตัสสุขาภิบาล 3"
"","ไอศกรีม กชามาส - ลาดพร้าว"
"Chabuton","Chabuton (ชาบูตง) - เซ็นทรัลพลาซา ลาดพร้าว"
"Chabuton","Chabuton (ชาบูตง) - เซ็นทรัลพลาซา บางนา"
"Chabuton","Chabuton (ชาบูตง) - เซ็นทรัลพลาซา พระราม 3"
"Tummour_Express","Tummour Express (ตำมั่ว เอ็กซ์เพรส) - ปั๊ม ปตท.บางพูน"
"","บุญชงคาเฟ่ - อ่อนนุช"
"Scoozi_Pizzeria_Italiana","Scoozi Pizzeria Italiana (สกูซี่ พิซซ่า) - พรีเมียร์เพลส"
"Cafe_Cococano","Cafe Cococano (คาเฟ่ โคโคคาโน่) - ถนนเอกชัย"
"","เตี๋ยวหม้อไฟ - ถนนสายไหม"
"Zaap_Classic","Zaap Classic (แซ่บ คลาสสิก) - ออลซีซั่น เพลส"
"Laemcharoen_Seafood","Laemcharoen Seafood (แหลมเจริญซีฟู๊ด) - สีลมคอมเพล็กซ์"
"","Baanpakplaisuan (บ้านผักปลายสวน) - ถนนนครอินทร์"
"","กินข้าวกินแกง - พระราม 9"
"Baan_Somtum","Baan Somtum (บ้านส้มตำ) - สุขุมวิท 42"
"","ต้มตุ๋น (สูตรคุณย่า) - ลาดพร้าว"
"","ขาหมูเสนา อาเปา - เสนานิคม"
"","จุ่มแซ่บ LA - รัชดาภิเษก"
"","ข้าวต้มปลา - ห้าแยกพลับพลาไชย"
"Chabuton","Chabuton (ชาบูตง) - เซ็นทรัลพลาซา พระราม 9"
"Auntie_Annes","Auntie Anne's (อานตี้ แอนส์) - เซ็นทรัล พระราม 9"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ปากเกร็ด"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส พัฒนาการ"
"Katsuya","Katsuya (คัตสึยะ) - มาร์เก็ตเพลส นางลิ้นจี่"
"KFC","KFC (เคเอฟซี) - มาร์เก็ตเพลส ดุสิต"
"KFC","KFC (เคเอฟซี) - เดอะมอลล์ 6 งามวงศ์วาน"
"KFC","KFC (เคเอฟซี) - อิมพิเรียล สำโรง"
"KFC","KFC (เคเอฟซี) - มาเก็ตวิลเลจ สุวรรณภูมิ"
"KFC","KFC (เคเอฟซี) - เดอะแจส รามอินทรา"
"KFC","KFC (เคเอฟซี) - เพลินนารี่ มอลล์"
"KFC","KFC (เคเอฟซี) - เสนา เฟสติวัล"
"KFC","KFC (เคเอฟซี) - สามย่านมิตรทาวน์"
"KFC","KFC (เคเอฟซี) - คอสโม บาซาร์ เมืองทองธานี"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส บางใหญ่"
"KFC","KFC (เคเอฟซี) - ทรี ออน ทรี"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส สุขุมวิท 50"
"KFC","KFC (เคเอฟซี) - บิ๊กซี แจ้งวัฒนะ"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลพลาซา แจ้งวัฒนะ"
"KFC","KFC (เคเอฟซี) - เทอร์มินอล 21"
"KFC","KFC (เคเอฟซี) - บิ๊กซี ราษฎร์บูรณะ"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลพลาซา พระราม 3"
"KFC","KFC (เคเอฟซี) - เดอะมอลล์ 3 รามคำแหง"
"KFC","KFC (เคเอฟซี) - เดอะมอลล์ ท่าพระ"
"KFC","KFC (เคเอฟซี) - ดิโอลด์สยาม พลาซ่า"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลเฟสติวัล อิสต์วิลล์"
"KFC","KFC (เคเอฟซี) - เดอะซีน ทาวน์อินทาวน์"
"KFC","KFC (เคเอฟซี) - เดอะสตรีท รัชดา"
"KFC","KFC (เคเอฟซี) - ยูไนเต็ด เซ็นเตอร์"
"KFC","KFC (เคเอฟซี) - บิ๊กซี เชียงใหม่"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส แจ้งวัฒนะ"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส พระราม 4"
"","ลุงใหญ่ ไทย อีสาน - ดินแดง"
"","Halo Koffee (เฮโล คอฟฟี่) - สุทธิสาร รัชดา"
"","ตำแซ่บ ตำซ่า - ถนนอุดมสุข 50"
"","ข้าวทิพย์ อาหารตามสั่ง - เทสโก้โลตัส อ่อนนุช"
"","ก๋วยเตี๋ยวลูกชิ้นปลานายฉุ่ย - พัฒนาการ"
"","สมยง ตำซั่ว - ถนนพระราม 9"
"","ข้าวต้มบุษบงก์ - ถนนพหลโยธิน"
"Joke_Siam","โจ๊กสยาม - ถนนสุขสวัสดิ์"
"","Sulbing Korean Dessert Cafe (ซอลบิง โคเรียน ดิเซิท คาเฟ่) - โคเรียนทาวน์"
"","ก๋วยเตี๋ยวแคะจุฬาเจ้าเก่า - ถนนบรรทัดทอง"
"","ตำเพลิน - บิ๊กซี สุขาภิบาล 5"
"","ลาบบัว เล็กปลาเผา - สาธุประดิษฐ์"
"","Sun Rays Cafe Breakfast & Brunch (ซันเรย์ คาเฟ่ เบรกฟาส แอนด์ บรั้นซ์) - ถนนสามล้าน"
"","ส้มตำยายหนู - ถนนพหลโยธิน"
"","เชียงใหม่เรือนแพ - ถนนเชียงใหม่ สันกำแพง"
"Seefah","SEE FAH (สีฟ้า) - อาคารฟิฟตี้ฟิฟ"
"","Kaobahn - ถนนพหลโยธิน"
"","ไทยรุ่งเรืองเย็นตาโฟ เจริญผล - ถนนอ่อนนุช"
"","Yumi เกี๊ยวซ่า (ยูมิ เกี๊ยวซ่า) - ตลาดทรัพย์เจริญ พระราม9"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - แยกสะพานพระนั่งเกล้า"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ลาดพร้าว"
"KFC","KFC (เคเอฟซี) - ยูเนี่ยนมอลล์"
"KFC","KFC (เคเอฟซี) - ไฮมมอล์ สามเสน"
"KFC","KFC (เคเอฟซี) - บิ๊กซี สะพานควาย"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลพลาซา ปิ่นเกล้า"
"KFC","KFC (เคเอฟซี) - ตะวันนา มาร์เก็ต"
