"chain_number","name"
"Meet Fresh","Meet Fresh - Ngô Đức Kế"
"Passio","Passio Coffee - 184 Lê Đại Hành"
"Passio","Passio Coffee - 97 Đinh Tiên Hoàng"
"DonChicken","Don Chicken - Vinhomes"
"","Nhân Ngãi (NN Store)"
"SupMoc","Súp Mộc - Hòa Hưng"
"LauGaOtHiem109","Lẩu Gà Ớt Hiểm 109 - Nguyễn Thiện Thuật"
"Passio","Passio Coffee - 279 Nguyễn Thái Bình"
"DonChicken","Don Chicken - Sư Vạn Hạnh"
"Passio","Passio Coffee - 331 Nguyễn Trọng Tuyển"
"","Chả Giò Cá Hoàng Minh Châu - Nguyễn Sơn Hà"
"DongTienBakery","Đồng Tiến Bakery - 179 Núi Thành"
"PizzaHut","Pizza Hut - Trần Hưng Đạo"
"","Luminus Smoothies"
"","Cơm 300"
"AlFrescos","Al Fresco's - Phú Mỹ Hưng"
"","Mì Ý Mẹ Ri"
"ToCoToCo","ToCoToCo - Siêu Thị Co.op Mart Huỳnh Tấn Phát"
"Passio","Passio Coffee - 01 Lê Văn Ninh"
"","Trà Sữa TeaCup"
"","Quán Mẹt Lá"
"Passio","Passio Coffee - 254 Nguyễn Đình Chiểu"
"Passio","Passio Coffee - 102 Huỳnh Văn Bánh"
"DonChicken","Don Chicken - Bến Thành"
"KOIThe","KOI Thé - Phan Xích Long Express"
"PizzaHut","Pizza Hut - Võ Văn Tần"
"AlFrescos","Al Fresco's - Mạc Đĩnh Chi"
"ToCoToCo","ToCoToCo - Phan Xích Long"
"","Cơm Gà Ngũ Vị"
"","Cuba Milktea & Coffee"
"","Yến Sào Chưng Trực Tiếp Hoàng Khải - 37 Hải Phòng"
"BamiKingBanhMiBoNuong","Bami King - Bánh Mì Bò Nướng - 161 Láng Hạ"
"","Ăn Đêm Sài Gòn"
"Chaosuonchuchen","Cháo Sườn Chú Chen - Nguyễn Trãi"
"TokyoDeliExpress","Tokyo Deli Express - Tên Lửa"
"","Meet Fresh - Crescent Mall"
"KOIThe","KOI Thé - TTTM Nowzone"
"","Nu Nu Quán - Hải Sản Tươi Sống"
"","Diopside Cake & Coffee"
"","Bún Ốc Gia Truyền - Ngõ 140 Giảng Võ  "
"KOMBOComNieuSingapore","KOMBO - Cơm Niêu Singapore - Nguyễn Phong Sắc"
"Bobapop","Bobapop - Nguyễn Thị Thập"
"AlFrescos","Al Fresco's - Xuân Thủy"
"Passio","Passio Coffee - 227A Xô Viết Nghệ Tĩnh"
"TokyoDeliExpress","Tokyo Deli Express - Điện Biên Phủ"
"ComTamNgoQuyen","Cơm Tấm Ngô Quyền - Đường số 36"
"Passio","Passio Coffee - 65B Cao Thắng"
"","Heo Sữa Ăn Vặt"
"TokyoDeliExpress","Tokyo Deli Express - Song Hành"
"KOIThe","KOI Thé - TTTM Cao Thắng Plaza Express"
"Highlands","Highlands Coffee - TTTM Crescent Mall"
"PizzaHut","Pizza Hut - Nguyễn Trãi"
"TOUSlesJOURS","TOUS les JOURS - Times City"
"AlFrescos","Al Fresco's - Hoàng Ngân"
"BanhSuKemBeardPapa","Bánh Su Kem Beard Papa's - Trần Duy Hưng"
"TokyoDeliExpress","Tokyo Deli Express - Ba Tháng Hai"
"AlFrescos","Al Fresco's - Phan Xích Long"
"TokyoDeliExpress","Tokyo Deli Express - Nguyễn Thị Thập"
"Passio","Passio Coffee - 53C Nguyễn Du"
"TOUSlesJOURS","TOUS les JOURS - Royal City"
"PizzaHut","Pizza Hut - Lê Văn Sỹ"
"","Hủ Tíu Sa Tế Lâm Phát Ký"
"PizzaHut","Pizza Hut - Phan Xích Long"
"","Meet Fresh - Sư Vạn Hạnh"
"Highlands","Highlands Coffee - TTTM Vincom Thảo Điền"
"Passio","Passio Coffee - 15F Nguyễn Thị Minh Khai"
"ChewyJunior","Chewy Junior - Trần Quang Diệu"
"ChewyJunior","Chewy Chewy - Siêu Thị Co.op Mart Quang Trung"
"Passio","Passio Coffee - 91 Nguyễn Du"
"KOMBOComNieuSingapore","KOMBO - Cơm Niêu Singapore - Trần Đại Nghĩa"
"Passio","Passio Coffee - 179B Nguyễn Cư Trinh"
"AlFrescos","Al Fresco's - Xuân Diệu"
"","Nộm Bò Khô Long Vi Dung - Đinh Tiên Hoàng"
"PizzaHut","Pizza Hut - Nơ Trang Long"
"AlFrescos","Al Fresco's - Hai Bà Trưng"
"BamiKingBanhMiBoNuong","Bami King - Bánh Mì Bò Nướng - Trung Hòa"
"LetsSushi","Let's Sushi - Quốc Tử Giám"
"BamiKingBanhMiBoNuong","Bami King - Bánh Mì Bò Nướng - Thái Phiên"
"ChewyJunior","Chewy Chewy - TTTM Lotte Mart Nguyễn Hữu Thọ"
"","Hương - Cháo Sườn & Bún Đậu - Ngõ Huyện"
"TokyoDeliExpress","Tokyo Deli Express - Trần Hưng Đạo"
"BanhSuKemBeardPapa","Bánh Su Kem Beard Papa's - Hàng Bông"
"DonChicken","Don Chicken - Hồ Tùng Mậu"
"","New Tea Trà Sữa - Mỳ Cay - Ăn Vặt"
"Passio","Passio Coffee - 250 Điện Biên Phủ"
"","Meet Fresh - The Garden Mall"
"AlFrescos","Al Fresco's - Nhà Thờ"
"Passio","Passio Coffee - 03 Nguyễn Lương Bằng"
"","SuShi KO - Vĩnh Khánh"
"TauHuXeLam","Tàu Hũ Xe Lam - Tôn Dật Tiên"
"Passio","Passio Coffee - 47 Trần Cao Vân"
"TOUSlesJOURS","TOUS les JOURS - Machinco Trần Phú"
"Passio","Passio Coffee - 124 Khánh Hội"
"BamiKingBanhMiBoNuong","Bami King - Bánh Mì Bò Nướng - An Trạch"
"ComRangHoa","Cơm Rang Hòa - Chiến Thắng"
"AlFrescos","Al Fresco's - Trường Sơn"
"BanhSuKemBeardPapa","Bánh Su Kem Beard Papa's - Nguyễn Lương Bằng"
"TOUSlesJOURS","TOUS les JOURS - Mandarin Hoàng Minh Giám"
"ChewyJunior","Chewy Chewy - TTTM Emart Phan Văn Trị"
"DingTea","Ding Tea - 306 Nguyễn Trãi"
"","Cơm Tấm Ba Ghiền"
"TrungNguyenLegend","Trung Nguyên Legend - 138 Nguyễn Thị Minh Khai"
"","Bami King - Bánh Mì Bò Nướng - 3 Láng Hạ"
"TokyoDeliExpress","Tokyo Deli Express - Park View"
"PizzaHut","Pizza Hut - Nguyễn Tri Phương"
"AlFrescos","Al Fresco's - Láng Hạ"
"Passio","Passio Coffee - 182 Lê Đại Hành"
"TOUSlesJOURS","TOUS les JOURS - Goldmark City"
"BamiKingBanhMiBoNuong","Bami King - Bánh Mì Bò Nướng - Nguyễn Phong Sắc"
"BanhSuKemBeardPapa","Bánh Su Kem Beard Papa's - Nguyễn Du"
"AlFrescos","Al Fresco's - Cộng Hòa"
"","Kool Coffee & Tea"
"","Cơm Chiên Giòn Gia Vĩnh - Hải Phòng"
"","TacoLeo - Ẩm Thực Mexico - Hồ Hảo Hớn"
"","Uncle Tea Bạch Mai - HST"
"","Hanoi Coffee On The Street"
"","Mì Cay GoChu - Quận 7"
"TrungNguyenLegend","Trung Nguyên Legend - 2 Bùi Thị Xuân"
"","Mì Quảng Bà Mua - Nguyễn Văn Thoại"
"AlFrescos","Al Fresco's - Trần Phú"
"","Cơm Tấm Gia Bảo"
"DingTea","Ding Tea - 252 Trần Khát Chân"
"DingTea","Ding Tea - 100 Trung Kính"
"DingTea","Ding Tea - 50 Láng Hạ"
"DingTea","Ding Tea - 1 Nhà Chung"
"DingTea","Ding Tea - 9 Thanh Niên"
"SavoTeaHerbs","Savo Tea&Herbs - 70 Ngô Tất Tố"
"","Vịt Cỏ Vân Đình"
"McDonalds","McDonald's - Hồ Gươm"
"DingTea","Ding Tea - 57 Ô Chợ Dừa"
"DingTea","Ding Tea - CT4A Xa La"
"DingTea","Ding Tea - 26 Lê Quang Đạo"
"","Chin's Kitchen"
"","Chilli Thai"
"Morico","Morico Contemporary Japanese Lifestyle - TTTM Crescent Mall"
"DingTea","Ding Tea - Trần Đại Nghĩa"
"DingTea","Ding Tea - 241 Khâm Thiên"
"","Mì Quảng Bà Mua - 454 Ngô Quyền"
"","Gà Nướng Muối Ớt Bin Bo - 510 Lý Thái Tổ"
"DingTea","Ding Tea - 150 Lương Đình Của"
"DingTea","Ding Tea - 23 Lê Đại Hành"
"DingTea","Ding Tea - 90 Trần Duy Hưng"
"DingTea","Ding Tea - 69 Quang Trung"
"DingTea","Ding Tea - 109 Thuỵ Khuê"
"DingTea","Ding Tea - 15a Đào Tấn"
"ToCoToCo","ToCoToCo - Nam Đồng"
"","Coffe LeRio"
"DingTea","Ding Tea - 114 Hồ Tùng Mậu"
"DingTea","Ding Tea - 47 Huỳnh Thúc Kháng"
"DingTea","Ding Tea - 53 Thái Thịnh"
"DingTea","Ding Tea - 156 Lạc Trung"
"DingTea","Ding Tea - 28 Trưng Nhị"
"TrungNguyenLegend","Trung Nguyên Legend - 807 Tạ Quang Bửu"
"","Cơm Gà A Đô"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - Chung Cư Sư Vạn Hạnh"
"","Milano Baba Coffee"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - Nguyễn Văn Cừ"
"","Phở Bắc Hải - Trần Phú"
"ShareTea","ShareTea - Nguyễn Chí Thanh"
"","Thiên Anh Coffee"
"","Cơm Thố Bách Khoa - Tạ Quang Bửu"
"Comthoanhnguyen","Cơm Thố Anh Nguyễn - Duy Tân"
"ShareTea","ShareTea - Phạm Ngọc Thạch"
"Comthoanhnguyen","Cơm Thố Anh Nguyễn - Chùa Láng"
"","Mì Quảng Bà Mua - Hồ Nghinh"
"","Cháo Súp Hoàng Khánh - Tôn Thất Tùng"
"","Bún Mắm Bà Đông"
"","Burger Bro's"
"","Bánh Gà & Đồ Ăn Vặt Cô Hoài"
"","Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng"
"","Đặc Sản Lào - Bún Thịt Nướng Khao Lào"
"Dasushi","Dasushi - Phan Châu Trinh"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - Bùi Thị Xuân"
"BonpasBakeryCoffee","Bonpas Bakery & Coffee - Xô Viết Nghệ Tĩnh"
"","Gà Rán Kuccu - Đỗ Quang"
"","Thịt Bò Khô 22"
"","Hủ Tiếu Nam Vang - Ngô Quyền"
"","Cơm Gà Kim Ngân"
"Comthoanhnguyen","Cơm Thố Anh Nguyễn - Bà Triệu"
"Bobapop","Bobapop - TTTM Crescent Mall"
"","Takoyaki Chochin"
"","Dimsum Mr Hào"
"","Opera Tea Club"
"","123-ZÔ – Quán Nướng Ngon HCM"
"","Trái Cây Tô Alley Fruit"
"BanhCuonTaySonMssmileFood","Bánh Cuốn Tây Sơn - Ms.smile Food - Trương Công Định"
"TrungNguyenLegend","Trung Nguyên Legend - 264A Nam Kỳ Khới Nghĩa"
"TrungNguyenLegend","Trung Nguyên Legend - 31 Phan Chu Trinh"
"","Chè Liên Đà Nẵng - Chè Sầu Liên - Điện Biên Phủ"
"","Trà Sữa Ocha House - Phan Đăng Lưu"
"","Oregano Pizza"
"","Khoai Lang Mật - Sườn Nướng CTG"
"","King Dakgalbi - Gà Xào Pho Mai - Nguyễn Chí Thanh"
"","Sữa Chua Đậu Đỏ - Nguyễn Quý Đức"
"BanhMiVoOngVang","Bánh Mì Vợ Ong Vàng - Trần Đại Nghĩa"
"","Trà Sữa HP Station"
"","Mì Cay SaSin - Nguyễn Văn Linh"
"","Nhà Hàng Hun Khói - Nguyễn Hoàng"
"","Gà Rán Kuccu - Nguyễn Phong Sắc"
"","Nắng Sài Gòn"
"","Tea & Cake"
"","Turris Bakery Coffee"
"DairyQueen","Dairy Queen - TTTM Royal City Mega Mall"
"DairyQueen","Dairy Queen - TTTM Aeon Mall Long Biên"
"Ngodobakery","Ngô Đỏ Bakery - Bánh Bò Thốt Nốt Nguyễn Sơn - Vĩnh Viễn"
"DairyQueen","Dairy Queen - TTTM Lotte Mart Gò Vấp"
"DairyQueen","Dairy Queen - TTTM Vạn Hạnh Mall"
"","Nước Cốt Bí Đao Ken Ken [Take Away]"
"Ngodobakery","Ngô Đỏ Bakery - Bạch Đằng"
"TrungNguyenLegend","Trung Nguyên Legend - 219 Lý Tự Trọng"
"","Bò Né 3 Ngon - Đường 3/2"
"ParisGateaux","Paris Gâteaux - 96 Nguyễn Khánh Toàn"
"PoemeJapaneseBakery","Poeme Japanese Bakery - Việt Hưng"
"","Lươn O Quế - Đặc Sản Nghệ An"
"MeetFresh","Meet Fresh - Ngô Đức Kế"
"ShareTea","ShareTea - 2 Tháng 9"
"","Bún Riêu Hải Béo"
"","Snow Pizza"
"","Phúc Drink - Trần Cao Vân"
"LegendaryChocolatier","Legendary Chocolatier HCM"
"","TURIN COFFEE"
"","Xiên Que Tự Chọn"
"","Yuki's Quán - Trà Sữa & Ăn Vặt"
"QuanAnNgon","Quán Ăn Ngon - 18 Phan Bội Châu"
"DairyQueen","Dairy Queen - TTTM Vincom Mega Mall Times City"
"DairyQueen","Dairy Queen - TTTM Vincom Center Bà Triệu"
"OdouceursBakery","O'douceurs Bakery"
"DairyQueen","Dairy Queen - TTTM Vincom Phạm Ngọc Thạch"
"DairyQueen","Dairy Queen - TTTM Big C Thăng Long"
"DairyQueen","Dairy Queen - TTTM Emart Gò Vấp"
"","Cơm Gà Hải Nam - Âu Cơ"
"DairyQueen","Dairy Queen - TTTM SC Vivo City"
"","Meet Fresh - Kiosk 1.8A.1"
"","Chả Cá Vọng Ngư - Nguyễn Chí Thanh"
"","Thế Giới Chè Và Quà Vặt - Ngõ Núi Trúc"
"","Quán Ơ Thương"
"","Xôi Sườn Cay 628 - Trường Trinh"
"","Pizza 123"
"Highlands","Highlands Coffee - TTTM Lotte Đà Nẵng"
"","Cơm Tấm Mộc"
"","Bếp Cô Tấm - Dương Quảng Hàm"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - TTTM Aeon Citimart Phúc Yên"
"","Pane E Vino"
"","Steak & Chicken Happy - Shop Online"
"","Cơm Tấm Sườn Hia Vũ"
"","Green Land Yogurt & Tea"
"FeelingTea","Feeling Tea - Đội Cấn"
"Nguyensonbakery","Nguyễn Sơn Bakery - Xã Đàn"
"","Bánh Mì Bami Cô Bống"
"","Bánh Mì Thổ Nhĩ Kỳ Bin Bin"
"","Sữa Sạch Cô Châu"
"BanhFlanQuynhAnh","Bánh Flan Quỳnh Anh"
"ParisGateaux","Paris Gâteaux - Nguyễn Thị Định"
"","Mì Quảng Bà Mua - Đống Đa"
"","Quán Lươn Nghệ An - 568 Lạc Long Quân"
"NhaHangChayHoanHy","Nhà Hàng Chay Hoan Hỷ - BHTQ"
"TOUSlesJOURS","TOUS les JOURS - IPH"
"TokyoDeliExpress","Tokyo Deli Express - Phan Xích Long"
"TokyoDeliExpress","Tokyo Deli Express - Hoàng Đạo Thúy"
"TokyoDeliExpress","Tokyo Deli Express - Ngô Quyền"
"TokyoDeliExpress","Tokyo Deli Express - Trường Sơn"
